序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
11,[方1]0011,舞獅,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai,弄獅　lāng-sai
12,[方1]0012,廟公,廟公　biō-kong,廟公　biō-kong,廟公　biō-kong,"廟公　biō-kong, 廟祝　biō-tsiok","廟公　biōr-kong, 廟祝　biōr-tsiok","廟公　biō-kong, 廟祝　biō-tsiok",廟祝　biō-tsiok,宮公　king-kong,"廟公　biō-kong, 顧廟的　kòo-biō--ê",廟公　biō-kong 
13,[方1]0013,乩童,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki,童乩　tâng-ki
14,[方1]0014,讀書,讀書　tha̍k-tsir,讀書　tha̍k-tsir,讀書　tha̍k-tsu,讀冊　tha̍k-tsheh,讀冊　tha̍k-tsheh,讀冊　tha̍k-tsheh,讀書　tha̍k-tsir,讀書　tha̍k-tsu,讀書　tha̍k-tsir; tha̍k-tsu,讀冊　tha̍k-tsheh
15,[方1]0015,學生,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing,學生　ha̍k-sing
16,[方1]0016,墨,墨　ba̍k,墨　ba̍k,墨　ba̍k,墨　ba̍k,墨　ba̍k,墨　ba̍k,墨　ba̍k,墨　ba̍k,墨　ba̍k,"墨　ba̍k, 烏墨　oo-ba̍k"
17,[方1]0017,硯台,墨盤　ba̍k-puânn,墨盤　ba̍k-puânn,墨盤　ba̍k-puânn,墨盤　ba̍k-puânn,"墨硯　ba̍k-hīnn, 墨盤　ba̍k-puânn","墨硯　ba̍k-hīnn, 墨盤　ba̍k-puânn","硯　hīnn, 墨硯　ba̍k-hīnn",硯　hīnn ,墨盤　ba̍k-puânn,墨盤　ba̍k-puânn
18,[方1]0018,信,批　phue,批　phue,批　phue,批　phe,批　phue,批　phue,批　phue,批　phue,批　phue,批　phue
19,[方1]0019,黑板,烏枋　oo-pang,烏枋　oo-pang,烏枋　oo-pang,烏枋　oo-pang,烏枋　oo-pang,烏枋　oo-pang,烏牌　oo-pâi,烏枋　oo-pang,烏枋　oo-pang,烏枋　oo-pang
20,[方1]0020,板擦,拭仔　tshit-á,烏枋拭仔　oo-pang-tshit-á,烏枋拭仔　oo-pang-tshit-á,粉拭仔　hún-tshit-á,烏枋拭仔　oo-pang-tshit-á,烏枋拭仔　oo-pang-tshit-á,烏板擦　oo-pán-tshat,粉擦　hún-tshat,烏枋拭仔　oo-pang-tshit-á,烏枋拭仔　oo-pang-tshit-á
21,[方1]0021,通書,通書　thong-sir,通書　thong-sir,通書　thong-tsu,通書　thong-si,通書　thong-su,通書　thong-su,通書　thong-tsir,通書　thong-tsu,通書　thong-tsir,通書　thong-su
22,[方1]0022,春牛圖,春牛圖　tshun-giû-tôo; tshun-gû-tôo,春牛圖　tshun-gû-tôo,春牛圖　tshun-gû-tôo,春牛圖　tshun-gû-tôo,春牛圖　tshun-gû-tôo,春牛圖　tshun-gû-tôo,春牛圖　tshing-gû-tôo,春牛圖　tshun-gû-tôo,春牛圖　tshun-gû-tôo,春牛圖　tshun-gû-tôo
23,[方1]0023,漫畫書,人仔書　lâng-á-tsir,尪仔書　ang-á-tsir,尪仔書　ang-á-tsu,尪仔冊　ang-á-tsheh,尪仔冊　ang-á-tsheh,尪仔冊　ang-á-tsheh,人仔書　lâng-á-tsir,尪仔書　ang-á-tsu,まんが　bang51-ga11,尪仔冊　ang-á-tsheh
24,[方1]0024,歌仔戲,歌仔戲　kua-á-hì,歌仔戲　kua-á-hì,歌仔戲　kua-á-hì,歌仔戲　kua-á-hì,歌仔戲　kua-á-hì,歌仔戲　kua-á-hì,歌仔戲　kuai-á-hì,歌仔戲　kuai-á-hì,歌仔戲　kua-á-hì,歌仔戲　kua-á-hì
25,[方1]0025,玩偶,人仔　lâng-á,おニンギョウ　o33-lin55-gio5,尪公仔　ang-kong-á,"おニンギョウ　o33-lin55-gio51, 尪仔　ang-á","おニンギョウ　o33-lin55-gio51, 尪仔　ang-á","おニンギョウ　o33-lin55-gio51, 尪仔　ang-á",人仔　lâng--á,オニンギョウ　o33-lin55-gioh5,オニンギョウ　o33-lin55-gio51,洋娃娃　iang35-ua55-ua55
26,[方1]0026,下棋,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî,行棋　kiânn-kî
28,[方1]0028,遠足,遠足　uán-tsiok,遠足　uán-tsiok,遠足　uán-tsiok,遠足　uán-tsiok,遠足　uán-tsiok,遠足　uán-tsiok,遠足　uán-tsiok,暫無資料　,遠足　uán-tsiok,遠足　uán-tsiok
29,[方1]0029,盪秋千,幌韆鞦　hàinn-tshian-tshiu,幌韆鞦　hàinn-tshan-tshiu,"幌公鞦　hàinn-kong-tshiu, 幌韆鞦　hàinn-khan-thiu",幌中秋　hàinn-tiong-tshiu,幌韆鞦　hàinn-tshan-tshiu,幌韆鞦　hàinn-tshian-tshiu,幌韆鞦　hiù-tshian-tshiu,幌韆鞦　hàinn-tshian-tshiu,幌韆鞦　hàinn-tshian-tshiu,"幌中秋　hàinn-tong-tshiu, 幌公秋　hàinn-kong-tshiu"
30,[方1]0030,游泳,泅水　siû-tsuí,泅水　siû-tsuí,"泅水　siû-tsuí, 游泳　iû-íng","泅水　siû-tsuí, 游泳　iû-íng","泅水　siû-tsuí, 洗浴　sé-i̍k, 游泳　iû-íng","泅水　siû-tsuí, 游泳　iû-íng",泅水　siû-tsuí,泅水　siû-tsuí,"泅水　siû-tsuí, 游泳　iû-íng","泅水　siû-tsuí, 游泳　iû-íng"
31,[方1]0031,蛙泳,田蛤仔泅　tshân-kap-á-siû,田蛤仔泅　tshân-kap-á-siû,暫無資料　,蛤仔泅　kap-á-siû,暫無資料　,四跤仔泅　sì-kha-á-siû,暫無資料　,水雞泅　tsuí-kue-siû,田蛤仔泅　tshân-kap-á-siû,水雞仔泅　tsuí-ke-á-siû
32,[方1]0032,珠子,珠仔　tsu-á,真珠仔　tsin-tsu-á,真珠仔　tsin-tsu-á,珠仔　tsu-á,輾珠仔　lìn-tsu-á,珠仔　tsu-á,嘓子　kho̍k-tsí,真珠　tsin-tsu,珠仔　tsu-á,"涼水珠仔　liâng-tsuí-tsu-á, 珠仔　tsu-á"
33,[方1]0033,仰泳,死囡仔䖙　sí-gín-á-the,死囡仔䖙　sí-gín-á-the,死囡仔䖙　sí-gín-á-the,死囡仔䖙　sí-gín-á-the,"水雞仔弄鐃　suí-ke-á-lāng-lâu, 倒拋泅　tòr-pha-siû","死囡仔䖙　sí-gín-á-the, 倒拋泅　tòr-pha-siû",乒乓泅　phīn-phōng-siû,放死豬仔流　pàng-sí-tu-á-lâu,死囡仔䖙　sí-gín-á-the,死囡仔䖙　sí-gín-á-thenn
34,[方1]0034,鼓掌,拍噗仔　phah-pho̍k-á,拍噗仔　phah-pho̍k-á,拍噗仔　phah-pho̍k-á,拍噗仔　phah-pho̍k-á,拍噗仔　phah-phok-á,拍噗仔　phah-pho̍k-á,拍噗仔　phah-phòo--á　,拍噗　phah-pho̍k,拍噗仔　phah-pho̍k-á ,"拍噗仔　phah-pho̍k-á, 拍匹噗仔　phah-phit-phok-á "
35,[方1]0035,捉迷藏,掩咯家　ng-ko̍k-ke,覕頷喓　bih-ām-iaunn,掩咯家　ng-ko̍k-ke,"掩咯家　uinn-ko̍k-ke, 踮相揣　tiàm-sio-tshuē","掩咯家　ng-ko̍k-ke, 覕相揣　bih-sior-tshuē",掩咯家　am-ko̍k-ke,抰苦雞　ng-khóo-kue,掩咯家　ng-ko̍k-ke,掩苦雞　ng-khóo-kue,"掩苦雞　ng-khóo-kue, 覕相揣　bih-sio-tshuē"
36,[方1]0036,骰子,撚骰仔　lián-tǎu-á,膏十八仔　kō-si̍p-pat-á,救十八　kiù-si̍p-pat,撚骰仔　lián-tâu-á,撚寶　lián-pó,撚骰仔　lián-tâu-á,骰仔　tāu--á,骰仔　tāu--á,骰九　tāu-káu,十八骰仔　si̍p-pat-tāu-á
37,[方1]0037,陀螺,干樂　kan-lo̍k,干樂　kan-lo̍k,干樂　kan-lo̍k,干樂　kan-lo̍k,干樂　kan-lo̍k,干樂　kan-lo̍k,干樂　kan-lo̍k,"干樂　kan-lo̍k, 柴佛　tshâ-pu̍t",干樂　kan-lo̍k,干樂　kan-lo̍k
38,[方1]0038,法螺,牛角鼓　gû-kak-kóo,龍角　lîng-kak,龍角　lîng-kak,龍角　liông-kak,"角鼓　kak-kóo, 角管　kak-kóng",角鼓　kak-kóo,哨角　sàu-kak,龍角　lîng-kak,哨角　sàu-kak,暫無資料　
39,[方1]0039,貪汙,食錢　tsia̍h-tsînn,食錢　tsiā-tsînn,食錢　tsia̍h-tsînn,"歪哥　uai-ko, 食錢　tsia̍h-tsînn, 貪汙　tham-u","歪哥　uai-kor, 食錢　tsia̍h-tsînn, 貪汙　tham-u","歪哥　uai-kor, 食錢　tsia̍h-tsînn, 貪汙　tham-u",食錢　tsia̍h-tsînn,"食錢　tsia̍h-tsînn, 歪哥　uai-ko",食錢　tsia̍h-tsînn,"食錢　tsia̍h-tsînn, 貪汙　tham-ú"
40,[方1]0040,賄賂,烏西　oo-sie,塞錢予人　siap-tsînn-hōo--lâng,烏西　oo-se,烏西　oo-se,烏西　oo-se,烏西　oo-se,"楗錢　kāinn-tsînn, 楗空　kāinn-khang ","東包　tong-pau, 烏西　oo-se",烏西　oo-se ,烏西　oo-se 
41,[方1]0041,賭博,跋筊　pua̍h-kiáu,跋筊　puā-kiáu,跋筊　pua̍h-kiáu,跋筊　puā-kiáu,跋筊　pua̍h-kiáu,跋筊　pua̍h-kiáu,跋筊　pua̍h-kiáu,跋筊　pua̍h-kiáu,跋筊　pua̍h-kiáu,跋筊　pua̍h-kiáu 
42,[方1]0042,賭場,筊間　kiáu-king,筊間　kiáu-king,筊間　kiáu-king,"筊場　kiáu-tiûnn, 筊間　kiáu-king, 筊窟　kiáu-khut",筊間　kiáu-king,筊間　kiáu-king,筊場　kiáu-tiûnn,筊場　kiáu-tiûnn,筊場　kiáu-tiûnn,筊場　kiáu-tiûnn
43,[方1]0043,抽頭,東筊　tong-kiáu,抽頭　thiu-thâu,東筊　tong-kiáu,"東筊　tong-kiáu, 挨筊　e-kiáu",東筊　tong-kiáu,東筊　tong-kiáu,東筊　tong-kiáu,東筊　tong-kiáu,東筊　tong-kiáu,抽東仔　thiu-tong-á
44,[方1]0044,敲竹摃,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû,敲油　khà-iû
45,[方1]0045,騙子,諞仙　pián-sian,"術仔　su̍t-á, 諞仙仔　pián-sian-á",諞仙仔　pián-sian-á,"佬仔　láu-á, 諞仙仔　pián-sian-á",諞仙仔　pián-sian-á,諞仙仔　pián-sian-á,暫無資料　,"諞仙　pián-sian, 騙子　phiàn-tsú",諞仙仔　pián-sian-á,諞仙仔　pián-sian-á
46,[方1]0046,小偷,賊仔　tsha̍t-á,賊仔　tsha̍t-á,賊仔　tsha̍t-á,勍仔　khiang-á,賊仔　tsha̍t-á,勍仔　khiang-á,鼠賊仔　tshír-tsha̍t--á,賊　tsha̍t,賊仔　tsha̍t-á,賊仔　tsha̍t-á
47,[方1]0047,扒手,剪綹　tsián-liú,剪綹仔　tsián-liú-á,剪綹仔　tsián-liú-á,剪綹仔　tsián-liú-á,剪綹仔　tsián-liú-á,剪綹仔　tsián-liú-á,剪綹仔　tsián-liú--á,剪綹仔　tsián-liú--á,剪綹仔　tsián-liú-á,剪綹仔　tsián-liú-á
48,[方1]0048,流氓,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ,鱸鰻　lôo-muâ
50,[方1]0050,早死(詈語),夭壽仔　iáu-siū-á,夭壽死囡仔　iáu-siū-sí-gín-á,夭壽仔　iáu-siū-á,"夭壽　iáu-siū, 膨肚短命　phòng-tōo-té-miā","夭壽仔　iáu-siū-á, 膨肚短命　phòng-tōo-té-miā",夭壽　iáu-siū,夭壽　iáu-siū,夭壽　iáu-siū,孤毛絕種　koo-moo-tse̍rh-tsíng; koo-moo-tse̍h-tsíng,孤𣮈　koo-khut
51,[方1]0051,燒,煎　tsian,煎　tsian,煎　tsian,煎　tsian,煎　tsian,煎　tsian,煎　tsian,煎　tsian,煎　tsian,煎　tsian
52,[方1]0052,盪,盪　tňg,盪　tn̄g,盪　tn̄g,盪　tn̄g,盪　tn̄g,盪　tn̄g,盪　tn̄g,盪　tn̄g,盪　tn̄g,盪　tn̄g
53,[方1]0053,爆油,"炸油　tsuànn-iû, 煏油　piak-iû",煏油　piak-iû,炸油　tsuànn-iû,煏油　piak-iû,"炸油　tsuànn-iû, 煏油　piak-iû","炸油　tsuànn-iû, 煏油　piak-iû",炸油　tsuànn-iû,炸油　tsuànn-iû,"炸油　tsuànn-iû, 煏油　piak-iû",炸豬油　tsuànn-ti-iû 
54,[方1]0054,爆香,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang,芡芳　khiàn-phang
55,[方1]0055,揀菜,揀　kíng,揀菜　kíng-tshài,揀菜　kíng-tshài,揀菜　kíng-tshài,揀菜　kíng-tshài,揀菜　kíng-tshài,揀菜　káinn-tshài,揀菜　kíng-tshài,揀菜　kíng-tshài,揀菜　kíng-tshài
56,[方1]0056,白水煮,煠　sa̍h,煠　sa̍h,煠　sa̍h,煠　sa̍h,煠　sa̍h,煠　sa̍h,煠　sa̍h,煠　sa̍h,煠　sa̍h,煠　sah; sā
57,[方1]0057,擦破皮,遛皮　liù-phêr,遛皮　liù-phêr,遛皮　liù-phê,遛皮　liù-phuê,遛皮　liù-phuê,遛皮　liù-phuê,遛皮　liù-phêr,遛皮　liù-phê,遛皮　liù-phêr,遛皮　liù-phuê
58,[方1]0058,輾槽,研槽　nguí-tsô; gíng-tsô,研槽　gíng-tsô,研槽　gíng-tsô,研槽　gíng-tsô,研槽　gíng-tsô,研槽　gíng-tsôr,研槽　ngái-tsô,研槽　gíng-tsô,研槽　gíng-tsô,研台　gíng-tâi
59,[方1]0059,抓藥,拆藥仔　thiah-io̍h-á,拆藥仔　thiah-iō-á,拆藥仔　thiah-io̍h-á,拆藥仔　thiah-iō-á,拆藥仔　thiah-io̍rh-á,拆藥仔　thiah-io̍rh-á,抾藥　khioh-io̍h,拆藥　thiah-io̍h,拆藥　thiah-io̍h,拆藥仔　thiah-io̍h-á
60,[方1]0060,笑桮,笑桮　tshiò-pue,笑桮　tshiò-pue,笑桮　tshiò-pue,笑桮　tshiò-pue,笑桮　tshiòr-pue,笑桮　tshiòr-pue,笑桮　tshiò-pue,笑桮　tshiò-pue ,笑桮　tshiò-pue,笑桮　tshiò-pue
61,[方1]0061,帶符,香火　hiunn-hér,香火　hiunn-hér,香火　hiunn-hé,香火　hiunn-hué,香火　hionn-hué,香火　hiunn-hué,貫捾　kǹg-kuānn,香火　hiunn-hé,貫捾　kǹg-kuānn,保身符　pó-sin-hû
62,[方1]0062,做醮,做醮　tsò-tsiò,做醮　tsò-tsiò,做醮　tsuè-tsiò,做醮　tsò-tsiò,做醮　tsòr-tsiòr,做醮　tsòr-tsiòr,做醮　tsuè-tsiò,做醮　tsuè-tsiò,做醮　tsuè-tsiò,做醮　tsò-tsiò
63,[方1]0063,做忌,做忌　tsuè-kī; tsuè-kì,做忌　tsò-kī,做忌　tsuè-khī,做忌　tsò-kī,做忌　tsòr-kī,做忌　tsòr-kī,做忌　tsuè-kī,做忌　tsuè-kī,做忌　tsuè-kī,做忌　tsò-kī
64,[方1]0064,桌頭,徛桌頭　khiǎ-toh-thâu,徛桌頭　khiā-toh-thâu,桌頭　toh-thâu,桌頭　toh-thâu,桌頭　torh-thâu,桌頭　torh-thâu,桌頭　toh-thâu,小法　siáu-huat,桌頭　toh-thâu,桌頭　toh-thâu
65,[方1]0065,尼姑庵,尼姑庵　nî-koo-am; lî-koo-am,尼姑庵　nî-koo-am,尼姑庵　nî-koo-am,尼姑庵　nî-koo-am,尼姑庵　lî-koo-am,尼姑庵　lî-koo-am,尼姑庵　lî-koo-am,尼姑庵　lî-koo-am,尼姑庵　lî-koo-am,尼姑庵　nî-koo-am
66,[方1]0066,土地公,土地公　thóo-tī-kong,土地公　thóo-tī-kong; thóo-lī-kong,土地公　thóo-lī-kong,土地公　thóo-lī-kong,"土地公　thóo-lī-kong, 福德正神　hok-tik-tsìng-sîn",土地公　thóo-lī-kong,土地公　thóo-tī-kong,土地公　thóo-tī-kong,土地公　thóo-tī-kong; thóo-lī-kong,土地公　thóo-tī-kong
67,[方1]0067,有應公,有應公　iú-iòng-kong,有應公　iú-hun-kong,"有應公　iú-hun-kong, 老大公　lāu-tuā-kong","有應公仔　iú-iong-kong-á, 應公仔　iòng-kong-á",有應公　iú-ìng-kong,應公仔　ìng-kong-á,萬事爺　bān-sīr-iâ,有應公　iú-ìng-kong,有應公仔　iú-ìng-kong-á,"百姓公仔　pah-sènn-kong-á, 有應公　iú-ìng-kong"
68,[方1]0068,床神,床母　Tshn̂g-bú,"床母　Tshn̂g-bú, 婆姐　Pô-tsiá",床母　Tshn̂g-bó,"姐母仔　Tsiá-bó-á, 婆姐　Pô-tsiá","床母　Tshn̂g-bór, 婆姐　Pôr-tsiá","床母　Tshn̂g-bór, 婆姐　Pôr-tsiá",床母　Tshn̂g-bú,床母　Tshn̂g-bó,床母　Tshn̂g-bú,床母　Tshn̂g-bó
69,[方1]0069,學校,公學校　kong-ha̍k-hǎu,公學校　kong-ha̍k-hāu,公學校　kong-ha̍k-hāu,公學校　kong-ha̍k-hāu,公學校　kong-ha̍k-hāu,公學校　kong-ha̍k-hāu,學校　ha̍k-hāu,學校　ha̍k-hāu,學校　ha̍k-hāu,學校　ha̍k-hāu
70,[方1]0070,老師,"先生　sian-sinn, 老師　lǎu-sir","先生　sian-sinn, 老師　lāu-sir","先生　sian-sinn, 老師　lāu-su","先生　sin-senn, 老師　lāu-su","先生　sian-senn, 老師　lāu-su","先生　sian-senn; sian-sinn, 老師　lāu-su",先生　sian-sinn,先生　sian-sinn,先生　sian-sinn,"先生　sian-sinn; sin-senn, 老師　lāu-su"
71,[方1]0071,日曆,"日誌　li̍t-tsì, 曆日　la̍h-li̍t",日誌　ji̍t-tsì,"日誌　li̍t-tsì, 曆日　la̍h-li̍t","日誌　ji̍t-tsì, 曆日　lā-ji̍t","日書　ji̍t-su, 日誌　ji̍t-tsì, 曆日　la̍h-ji̍t","日書　ji̍t-su, 日誌　ji̍t-tsì, 曆日　la̍h-ji̍t",曆日　la̍h-li̍t,曆日　la̍h-ji̍t,"曆日　la̍h-li̍t, 日誌　li̍t-tsì","曆日　la̍h-ji̍t, 日拆　ji̍t-thiah"
72,[方1]0072,郵票,"花仔紙　hue-á-tsuá, 郵票　iû-phiò",郵票　iû-phiò,郵票　iû-phiò,郵票　iû-phiò,"尪仔頭　ang-á-thâu, 郵票　iû-phiòr",郵票　iû-phiòr,郵票　iû-phiò,郵票　iû-phiò,"郵票　iû-phiò, 切手　khi̍t-teh",郵票　iû-phiò 
73,[方1]0073,講古,講古　káng-kóo,講古　káng-kóo,講古　káng-kóo,講古　káng-kóo,講古　káng-kóo,講古　káng-kóo,講古　kóng-kóo,講古　kóng-kóo,講古　káng-kóo,講古　kóng-kóo
74,[方1]0074,打麻將,麻雀　bâ-tshiok,麻雀　bâ-tshiok,麻雀　bâ-tshiok,拍麻雀　phah-bâ-tshiok,拍麻雀　phah-bâ-tshiok,拍麻雀　phah-bâ-tshiok,拍麻雀　phah-bâ-tshiok,拍麻雀　phah-buâ-tshiok ,拍麻雀　phah-bâ-tshiok,拍麻雀　phah-mâ-tshiok
75,[方1]0075,拔河,搝大索　giú-tuǎ-soh,搝大索　giú-tuā-soh,搝大索　giú-tuā-soh,搝索仔　giú-soh-á,"搝大索　giú-tuā-soh, 拔大索　pue̍h-tuā-soh",搝大索　giú-tuā-sorh,拔索　pui̍h-soh,擋索仔　tòng-soh--á,搝索仔　giú-soh-á,搝大索　giú-tuā-soh
76,[方1]0076,側翻,拋捙輪　pha-tshia-lin,拋捙輪　pha-tshia-lin,拋捙輪　pha-tshia-lin,拋捙輪　pha-tshia-lin,"捙拋輪　tshia-pha-lin, 拋捙輪　pha-tshia-lian, 拋麒麟　pha-ki-lin",拋捙輪　pha-tshia-lian,暫無資料　,暫無資料　,拋輾斗　pha-lìn-táu,反輦狗仔　píng-lián-káu-á
77,[方1]0077,不倒翁,阿不倒　a-put-táu,阿不倒仔　a-put-tó-á,阿不倒　a-put-tó,阿不倒仔　a-put-tó-á,阿不倒仔　a-put-torh-á,阿不倒仔　a-put-torh-á,阿不倒　a-put-táu,阿不倒　a-put-tó,阿不倒仔　a-put-tó-á,阿不倒　a-put-tó 
78,[方1]0078,跑讓人捉,走相逐　tsáu-sio-lip,走相逐　tsáu-sio-jip,走相逐　tsáu-sio-lip,走相逐　tsáu-sio-jik,走相逐　tsáu-sior-jiok,走相逐　tsáu-sior-jiok,走相逐　tsáu-sann-tsip,走相掠　tsáu-sio-lia̍h,"走相逐　tsáu-sann-lip, 走相掠　tsáu-sann-lia̍h","走相逐　tsáu-sann-giok, 走相掠　tsáu-sann-lia̍h"
79,[方1]0079,吹氣球,歕雞胿仔　pûn-kue-kui-á,歕雞胿仔　pûn-kere-kui-á,歕雞胿仔　pûn-kue-kui-á,歕雞胿仔　pûn-kue-kui-á,歕雞胿仔　pûn-ke-kui-á,歕雞胿仔　pûn-ke-kui-á,歕雞胿　pûn-kue-kui,歕雞胿　pûn-kue-kui,歕雞胿仔　pûn-kue-kui-á,歕雞胿仔　pûn-ke-kui-á
80,[方1]0080,押下去,硩落去　teh--loih,硩　teh,硩落去　teh--loih,硩撚寶　teh-lián-pó,硩落去　teh--lo̍rh-khì,硩落去　teh--lo̍rh-khì,硩落去　teh--lo̍h--khìr,硩落去　teh--loì,硩落　teh--lo̍h ,硩　teh 
81,[方1]0081,風箏,風吹　hong-tsher,風吹　hong-tsher,風吹　hong-tshe,風吹　hong-tshue,風吹　hong-tshue,風吹　hong-tshue,風吹　huang-tshe,風吹　hong-tshe,風吹　hong-tsher; hong-tshe,風吹　hong-tshue
82,[方1]0082,彈弓,擗擗仔　pia̍k-pia̍k-á,鳥擗仔　tsiáu-phia̍k-á,擉仔　tia̍k-á,鳥擗仔　tsiáu-phia̍k-á,"拍鳥弓仔　phah-tsiáu-king-á, 樹奶弓仔　tshiū-ni-king-á",鳥擗仔　tsiáu-phia̍k-á,鳥仔弓　tsiáu-á-king,鳥仔擗　tsiáu-á-phiang,"擗仔　phia̍k-á, パチンコ　pha33-tshin51-ko11",樹奶擗仔　tshiū-ling-phia̍k-á
83,[方1]0083,木魚,嘓魚　kho̍k-hîr,嘓魚　kho̍k-hîr,嘓　kho̍k,"木魚　bo̍k-hî, 嘓魚　kho̍k-hî",嘓仔　khok-á,"木魚　bo̍k-hî, 嘓魚　go̍k-hî",嘓魚　kho̍k-hîr,嘓魚　kho̍k-hû,"嘓　khok; kho̍k, 木魚　bo̍k-gîr",木魚　bo̍k-hî
