例句編號,主編號,釋義編號,例句順序,例句,例句標音,華語翻譯
28,21,30,1,一直向前行，毋免轉斡。,"It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. ",一直向前走過去，不用轉彎。
29,21,31,1,阿美一直咧掃塗跤，攏無歇睏。,"A bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn. ",阿美一直在掃地，都沒有休息。
30,22,32,1,伊對伊的學生一律攏真嚴格。,I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. ,他對他的學生一律都很嚴格。
31,23,33,1,伊佮我的看法並無一致。,I kah guá ê khuànn-huat pīng bô it-tì. ,他跟我的看法並不一致。
32,24,34,1,伊一面做工，一面讀冊。,"I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. ",他一邊工作，一邊讀書。
33,24,35,1,一面抹壁雙面光。,Tsi̍t-bīn buah-piah siang-bīn kng. ,用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。
34,25,37,1,毋通逐工鬱佇遐若一垺屎。,M̄-thang ta̍k kang ut tī hia ná tsi̍t-pû-sái. ,不要整天窩在那像一坨大便。
35,26,38,1,伊食一屑仔飯爾爾。,I tsia̍h tsi̍t-sut-á pn̄g niā-niā. ,他吃一點點飯而已。
36,28,40,1,一般人攏真愛面子。,It-puann lâng lóng tsin ài bīn-tsú. ,一般人都很愛面子。
37,31,41,1,這擺欲替伊開刀的醫生攏是一粒一的。,Tsit pái beh thè i khui-to ê i-sing lóng-sī it-lia̍p-it--ê. ,這次為她開刀的醫生都是最好的。
38,31,42,1,阿英佮我是一粒一的。,A-ing kah guá sī it-lia̍p-it--ê. ,阿英和我是最要好的朋友。
39,33,43,1,伊跤手真緊，穡頭一睏仔就做了矣。,"I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò liáu--ah. ",他的動作真快，工作一下子就做完了。
40,33,44,1,遮的物件伊做一睏仔共伊食了。,Tsia-ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu. ,這裡的東西他一口氣把它吃完。
41,34,45,1,所有的公民一概攏愛盡義務。,Sóo-ū ê kong-bîn it-khài lóng ài tsīn gī-bū. ,所有的公民全部都要善盡義務。
42,35,46,1,祝恁一路平安。,Tsiok lín tsi̍t-lōo pîng-an. ,祝福你們一路平安。
43,36,47,1,加減食一寡。,Ke-kiám tsia̍h--tsi̍t-kuá. ,多少吃一點。
44,37,48,1,一寡仔物件攏無整理。,Tsi̍t-kuá-á mi̍h-kiānn lóng bô tsíng-lí. ,一些東西都沒整理。
45,38,49,1,過一對時，才會行氣。,"Kuè tsi̍t-tuì-sî, tsiah ē kiânn-khì. ",過二十四小時，才會發揮功效。
46,39,50,1,伊來一霎仔久就轉去矣。,I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah. ,他來一下子就回去了。
47,41,51,1,你才食一點仔物件哪會飽？,Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá? ,你才吃一點點東西怎麼會飽？
48,45,55,1,甲乙丙丁,kah it piánn ting,
49,45,56,1,乙等,it tíng,
50,46,57,1,甲乙丙丁,kah it piánn ting,
51,46,58,1,出丁,tshut-ting,生男孩子
52,47,60,1,七个人,tshit ê lâng,七個人
53,47,61,1,七老八老,tshit-lāu-peh-lāu,強調很老
54,47,61,2,七除八扣,tshit-tû-peh-khàu,計算時一再折扣，自總數中盡量減除。
55,48,64,1,十喙九尻川。,Tsa̍p tshuì káu kha-tshng. ,形容人多嘴雜。
56,49,65,1,一言九鼎,it giân kiú tíng,
57,50,66,1,飯食了才食果子。,Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. ,飯吃完再吃水果。
58,50,67,1,了解,liáu-kái,
59,50,68,1,了力,liáu la̍t,白費力氣
60,50,68,2,了工,liáu-kang,白費功夫
61,50,69,1,了錢生理無人做。,Liáu-tsînn sing-lí bô lâng tsò. ,賠錢生意沒人做。
62,50,70,1,講了真清楚。,Kóng liáu tsin tshing-tshó. ,說得很清楚。
63,50,70,2,洗了無清氣。,Sé liáu bô tshing-khì. ,洗得不乾淨。
64,51,71,1,第二,tē-jī,
65,52,72,1,人類,jîn-luī,
66,52,73,1,人情,jîn-tsîng,
67,52,73,2,人事,jîn-sū,
68,52,74,1,聖人,sìng-jîn,
69,52,74,2,軍人,kun-jîn,
70,53,75,1,做牛著拖，做人著磨。,"Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. ",做牛得要拖犁耕田，做人得受生活的折磨。
71,53,76,1,莫共人講！,Mài kā lâng kóng! ,不要跟別人說！
72,53,76,2,予人看無,hōo lâng khuànn-bô,讓別人瞧不起
73,53,77,1,好人,hó lâng,
74,53,77,2,讀冊人,tha̍k-tsheh-lâng,讀書人
75,53,77,3,中人,tiong-lâng,仲介者
76,53,78,1,人毋管啦！,Lâng m̄-kuán--lah! ,我不管啦！
77,53,79,1,伊人真好。,I lâng tsin hó. ,他待人很好。
78,53,79,2,人無爽快,lâng bô sóng-khuài,身體不舒服
79,54,80,1,入去,ji̍p--khì,進去
80,54,80,2,入來,ji̍p--lâi,進來
81,54,81,1,入被,ji̍p phuē,把被子裝進被套裡
82,54,82,1,收入,siu-ji̍p,
83,54,82,2,入數,ji̍p siàu,入帳
84,55,83,1,二八青春,jī pat tshing-tshun,即十六歲，正值青春年華。
85,56,84,1,八个人,peh ê lâng,八個人
86,57,85,1,鉸刀,ka-to,剪刀
87,57,86,1,伊昨暝去予人刣幾若刀。,I tsa-mê khì hōo lâng thâi kuí-nā to. ,他昨晚被人砍了好幾刀。
88,57,87,1,伊欲買一刀紙。,I beh bé tsi̍t to tsuá. ,他想買一刀紙。
89,58,88,1,𪜶頭家真𠢕共人刁。,In thâu-ke tsin gâu kā lâng tiau. ,他們的老闆很會為難人。
90,58,89,1,刁故意,tiau-kòo-ì,故意
91,58,89,2,刁工,tiau-kang,故意
92,59,90,1,無力,bô la̍t,沒有力氣
93,59,90,2,氣力,khuì-la̍t,力氣
94,60,91,1,力量,li̍k-liōng,
95,60,92,1,財力,tsâi-li̍k,
96,60,92,2,兵力,ping-li̍k,
97,61,93,1,十个人,tsa̍p ê lâng,十個人
98,61,94,1,十全,tsa̍p-tsn̂g,
99,61,94,2,十分,tsa̍p hun,
100,62,95,1,人有十指,jîn iú si̍p tsí,
101,62,96,1,十全十美,si̍p-tsuân-si̍p-bí,十分的完美
102,63,97,1,卜看覓咧！,Poh khuànn-māi--leh! ,試試看囉！
103,64,98,1,我來卜一下仔卦咧。,Guá lâi pok tsi̍t-ē-á kuà--leh. ,我來卜一下卦。
104,65,99,1,食又欲食，穡又毋做，真害！,"Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi! ",吃又要吃，工作又不肯做，真糟糕！
105,67,101,1,貓仔共鳥鼠掠了了矣。,Niau-á kā niáu-tshí lia̍h-liáu-liáu--ah. ,貓咪把老鼠抓光光了。
106,68,102,1,這个袂使，彼个毋通，全你的意見了了。,"Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu. ",這個不行，那個不可以，你的意見真多。
107,70,104,1,十二分的感謝,tsa̍p-jī-hun ê kám-siā,
108,71,106,1,時機誠䆀，害我十二生相變透透嘛變無撚。,"Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián. ",時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。
109,73,108,1,分袂平，拍甲二九暝。,"Pun bē pênn, phah kah Jī-káu-mê. ",分配不能平均，一直打到要過年的除夕夜。形容做事不公，會引起紛爭。
110,75,110,1,我才看你按怎十八變。,Guá tsiah khuànn lí án-tsuánn tsa̍p-peh-piàn. ,我倒要看你怎麼變化多端，本事多高。
111,77,112,1,了工閣蝕本。,Liáu-kang koh si̍h-pún. ,白費工夫又賠錢。比喻賠了夫人又折兵。
112,78,113,1,這冬割稻仔愛偌濟人工才做會了？,Tsit tang kuah tiū-á ài guā-tsē lâng-kang tsiah tsò ē liáu? ,這季割稻子要多少人力才能完成？
113,78,114,1,臺灣現此時的人工真貴。,Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì. ,臺灣現在的工資很貴。
114,79,115,1,恁囝婿的人才生做袂䆀。,Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. ,你女婿外表長得不錯。
115,80,116,1,入土為安,ji̍p-thóo uî an,
116,81,117,1,我刁工來看你。,Guá thiau-kang lâi khuànn--lí. ,我專程來看你。
117,81,118,1,你愈講，伊愈刁工。,"Lí jú kóng, i jú thiau-kang. ",你越說，他越是故意和你唱反調。
118,82,119,1,人中長的人較長歲壽。,Jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū. ,人中長的人壽命比較長。
119,83,120,1,人有七孔。,Lâng ū tshit-khóng. ,人有七竅。
120,85,122,1,伊是二手，毋是頭手。,"I sī jī-tshiú, m̄ sī thâu-tshiú. ",他是助手，不是師傅。
121,85,123,1,物件買二手的較俗。,Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k. ,東西買中古的比較便宜。
122,87,125,1,八仙綵,pat-sian-tshái,繡有八仙的紅彩，在喜慶時掛在門楣上
123,91,129,1,你莫共伊刁古董。,Lí mài kā i tiau-kóo-tóng. ,你不要為難他。
124,92,130,1,較早的人認為飼查某囝了本，無予𪜶讀偌濟冊。,"Khah-tsá ê lâng jīn-uî tshī tsa-bóo-kiánn liáu-pún, bô hōo in tha̍k guā-tsē tsheh. ",以前的人認為養女孩子虧本，沒讓她們念太多書。
125,94,132,1,人生短短,jîn-sing té-té,人生苦短
126,95,133,1,刀石提來磨刀仔。,To-tsio̍h the̍h-lâi buâ to-á. ,磨刀石拿來磨刀子。
127,96,134,1,媠，媠無十全；䆀，䆀無加圇。,"Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g. ",人不會是十全十美的。
128,97,135,1,十全大補湯,si̍p-tsuân tāi póo thng,合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。
129,97,136,1,十全十美,si̍p-tsuân-si̍p-bí,
130,98,137,1,算命仙的講𪜶兩人的八字袂合。,Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē-ha̍h. ,算命先生說他們兩人的八字不合。
131,103,143,1,七早八早，你就想欲歇睏？,"Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn? ",時間還早，你就想休息？
132,104,144,1,你講閣較濟伊嘛聽袂入耳。,Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní. ,你說再多他也聽不進去。
133,106,146,1,食甲七老八老矣，猶閣毋認老。,"Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn lāu. ",活到七老八十了，還不認老。
134,107,147,1,你著較拍拚咧，毋通做了尾仔囝。,"Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn. ",你要更努力一點，不要做敗家子。
135,108,148,1,對這件代誌伊閣有二步七仔！,Tuì tsit kiānn tāi-tsì i koh ū--jī-pōo-tshit-á! ,對這件事情他還有點能耐！
136,109,150,1,八角形,peh-kak hîng,
137,110,152,1,睏飽了後，氣力十足。,"Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok. ",一覺睡醒之後，全身都充滿了活力。
138,111,153,1,九芎仔柴,kiú-kiong-á-tshâ,九芎樹
139,112,154,1,人事室,jîn-sū sik,管理機關人員的辦公處所
140,112,155,1,盡人事順天意。,Tsīn jîn-sū sūn thinn-ì. ,盡人事聽天命。
141,112,156,1,過年時仔攏會做一寡仔人事。,Kuè-nî sî-á lóng ē tsò tsi̍t-kuá-á jîn-sū. ,過年的時候都會有一些送禮的活動。
142,115,160,1,二房較𠢕出丁。,Jī-pâng khah gâu tshut-ting. ,次男的支系較會生男孩。
143,115,161,1,伊娶二房。,I tshuā jī-pâng. ,他娶小老婆。
144,116,162,1,大人物,tuā jîn-bu̍t,有地位有名望的人
145,117,163,1,十花五色的人,tsa̍p-hue-gōo-sik ê lâng,形形色色的人
146,118,164,1,我今仔入門，電話就來矣。,"Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah. ",我剛進門，電話就來了。
147,118,165,1,我想欲趕緊共你娶入門。,Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g. ,我想要趕快將你娶進門。
148,118,166,1,學臺語，我拄入門。,"O̍h Tâi-gí, guá tú ji̍p-mn̂g. ",學臺語，我才剛剛入門。
149,118,167,1,臺語入門,Tâi-gí ji̍p-mn̂g,
150,119,168,1,咱愛好好仔招待人客。,Lán ài hó-hó-á tsiau-thāi lâng-kheh. ,我們要好好招呼客人。
151,119,168,2,店內人客真濟。,Tiàm-lāi lâng-kheh tsin tsē.,店裡顧客很多。
152,120,169,1,你出門了後，伊就醒矣。,"Lí tshut-mn̂g liáu-āu, i tō tshénn--ah. ",你出去之後，他就醒了。
153,121,170,1,七星陣,tshit-tshenn tīn,依照北斗七星排列所設的陣式
154,122,171,1,大姊昨昏無細膩去予玻璃幼仔割著二指。,Tuā-tsí tsa-hng bô-sè-jī khì hōo po-lê-iù-á kuah-tio̍h jī-tsáinn. ,大姊昨天不小心被碎玻璃割到食指。
155,123,172,1,伊是刁持欲佮我做對的。,I sī tiau-tî beh kah guá tsò-tuì--ê. ,他是故意要和我作對的。
156,123,173,1,我是刁持來看你的。,Guá sī tiau-tî lâi khuànn--lí--ê. ,我是特別來看你的。
157,124,174,1,伊刁故意欲講予你氣。,I tiau-kòo-ì beh kóng hōo lí khì. ,他故意這麼說要惹你生氣。
158,127,179,1,伊的人面真闊，共伊拜託就無毋著！,"I ê lâng-bīn tsin khuah, kā i pài-thok tō bô-m̄-tio̍h! ",他的人脈很廣，拜託他就沒錯！
159,128,180,1,做代誌愛重人倫義理。,Tsò tāi-tsì ài tiōng jîn-lûn gī-lí. ,做事要重視人的倫常義理。
160,129,181,1,公務人員,kong-bū jîn-uân,
161,129,182,1,阮這單位的人員無夠，工課才會做袂完。,"Guán tsit tan-uī ê jîn-uân bô kàu, khang-khuè tsiah ē tsò bē uân. ",我們這單位的人數不足，工作才完成不了。
162,130,183,1,你當時欲入厝？,Lí tang-sî beh ji̍p-tshù? ,你何時要搬入新家？
163,133,186,1,一戶人家,tsi̍t hōo jîn-ke,
164,136,189,1,做人愛重人格。,Tsò-lâng ài tiōng jîn-keh. ,為人要注重人格。
165,137,190,1,伊的人氣閣不止仔好。,I ê jîn-khì koh put-tsí-á hó. ,他的人緣很好。
166,139,192,1,兩隊人馬佇街仔路相拄。,Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. ,兩隊人馬在街道相遇。
167,140,193,1,伊昨暗入院矣。,I tsa-àm ji̍p-īnn--ah. ,他昨晚住院了。
168,142,195,1,做人情予伊。,Tsò-jîn-tsîng hōo--i. ,給他一個人情。
169,142,196,1,人情世事一大攤。,Jîn-tsîng-sè-sū tsi̍t tuā thuann. ,禮尚往來的事情一大堆。
170,143,197,1,人情世事一大堆。,Jîn-tsîng-sè-sū tsi̍t tuā tui. ,禮尚往來的事宜一大堆。
171,145,199,1,有人望的人,ū jîn-bōng ê lâng,眾所矚目的人
172,146,200,1,人造雨,jîn-tsō hōo,
173,147,201,1,這枝刀的刀喙真利。,Tsit ki to ê to-tshuì tsin lāi. ,這把刀的刀口很鋒利。
174,149,202,1,戲園五點才會使入場。,Hì-hn̂g gōo tiám tsiah ē-sái ji̍p-tiûnn. ,戲院五點才能進場。
175,150,203,1,想著這款「親生囝，餓死爸」个代誌，實在真了然。,"Siūnn-tio̍h tsit khuán ""tshin-senn kiánn, gō-sí pē"" ê tāi-tsì, si̍t-tsāi tsin liáu-jiân. ",想到「親生兒，餓死爸」這樣的事情，實在是枉然。
176,151,204,1,咱愛靠家己的力量行出咱家己的前途。,Lán ài khò ka-kī ê li̍k-liōng kiânn tshut lán ka-kī ê tsiân-tôo. ,我們要靠自己的能力走出自己的前途。
177,152,205,1,伊毋是刁意故的。,I m̄ sī thiau-ì-kòo--ê. ,他不是故意的。
178,155,208,1,伊又閣來矣。,I iū-koh lâi--ah. ,他又來了。
179,156,209,1,規間厝恬恬無聲，連半个人影嘛無。,"Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô. ",整間屋子靜悄悄的，連半個人影都沒有。
180,157,210,1,阿母用九層塔煎卵真好食。,A-bú iōng káu-tsàn-thah tsian nn̄g tsin hó tsia̍h. ,媽媽用九層塔煎蛋真好吃。
181,158,211,1,伊的人範看起來袂䆀。,I ê lâng-pān khuànn--khí-lâi bē-bái. ,他的人品看起來還不錯。
182,159,212,1,伊真有人緣。,I tsin ū-lâng-iân. ,他很有人緣。
183,160,213,1,我今年就欲入學去讀冊矣！,Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah! ,我今年就要入學去讀書了！
184,161,214,1,伊彼幅圖有入選無？,I hit pak tôo ū ji̍p-suán--bô? ,他那幅畫有沒有入選？
185,162,215,1,伊做啥物生理攏了錢。,I tsò siánn-mih sing-lí lóng liáu-tsînn. ,他做什麼生意都賠錢。
186,162,216,1,這號物件都已經有矣，你閣欲買，加了錢的。,"Tsit-lō mi̍h-kiānn to í-king ū--ah, lí koh beh bé, ke liáu-tsînn--ê. ",這個東西已經有了，你還要買，多花錢而已。
187,163,218,1,人頭熟,lâng-thâu si̍k,熟識的人多
188,163,219,1,這間店是算人頭收錢的。,Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê. ,這家商店是按人數收錢的。
189,163,220,1,賣人頭,bē lâng-thâu,被收買為違法代理人
190,164,221,1,力頭真飽,la̍t-thâu tsin pá,力道真大
191,167,224,1,無佮意就講，何乜苦共伊刁難？,"Bô kah-ì tō kóng, hô-mí-khóo kā i thiau-lân? ",不喜歡就說嘛，又何必故意為難他？
192,170,227,1,三生有幸,sam-sing-iú-hīng,
193,171,228,1,三隻狗,sann tsiah káu,三條狗
194,172,229,1,上車,tsiūnn tshia,
195,172,229,2,上路,tsiūnn-lōo,
196,172,230,1,上桌,tsiūnn toh,把食物或其他東西端上桌
197,173,231,1,上水,tshiūnn-tsuí,從井裡頭用水桶把水打上來
198,173,232,1,上青苔,tshiūnn tshenn-thî,長青苔
199,174,233,1,水面上,tsuí-bīn-siōng,
200,174,234,1,上好,siōng-hó,最好
201,175,235,1,天跤下,thinn-kha-ē,天底下
202,175,236,1,拍三下,phah sann ē,打三下
203,175,236,2,驚一下,kiann tsi̍t-ē,嚇一跳
204,176,237,1,下班,hā-pan,
205,176,237,2,下課,hā-khò,
206,176,238,1,下令,hā-līng,宣布命令
207,176,239,1,南下,lâm hā,下去南部
208,176,240,1,下集,hā tsi̍p,
209,176,240,2,下級,hā-kip,
210,177,241,1,物件無位通下。,Mi̍h-kiānn bô uī thang hē. ,東西沒地方放。
211,177,241,2,下鹽,hē iâm,在食物中放鹽
212,177,242,1,乞食下大願。,Khit-tsia̍h hē tuā guān. ,乞丐許大願。比喻人明明沒有能力，卻好高騖遠。
213,178,243,1,懸低,kuân-kē,高低
214,178,243,2,低音,kē-im,低音
215,179,244,1,兩个人,nn̄g ê lâng,兩個人
216,179,245,1,這个物件,tsit ê mi̍h-kiānn,這個東西
217,180,246,1,魚丸,hî-uân,魚肉製成的小丸子
218,180,247,1,彼兩丸烏烏的物件是啥物？,Hit nn̄g uân oo-oo ê mi̍h-kiānn sī siánn-mih? ,那兩球黑黑的東西是什麼？
219,181,248,1,伊離開真久矣。,I lī-khui tsin kú--ah. ,他離開很久了。
220,182,249,1,么二三,io jī sann,一二三
221,183,250,1,乞符仔,khit hû-á,向道士求討符咒
222,184,251,1,這件代誌有也好，無也好，攏無要緊。,"Tsit kiānn tāi-tsì ū iā hó, bô iā hó, lóng bô-iàu-kín. ",這件事情可有可無，都沒關係。
223,185,252,1,傷亡,siong-bông,受傷和死亡
224,185,252,2,亡國,bông-kok,
225,185,253,1,亡兄,bông-hing,
226,185,254,1,新亡,sin-bông,新死者、剛過世的人
227,185,254,2,傷亡,siong-bông,傷者和死者
228,185,255,1,流亡,liû-bông,
229,186,256,1,平凡,pîng-huân,平常、不出色
230,186,257,1,凡事,huân sū,無論什麼事情
231,187,258,1,凡間,huān-kan,
232,187,258,2,仙女下凡,sian-lú hā-huān,
233,188,260,1,千千萬萬,tshian-tshian-bān-bān,
234,189,261,1,一千箍,tsi̍t tshing khoo,一千元
235,190,262,1,開叉,khui tshe,
236,190,262,2,竹篙叉,tik-ko-tshe,有Y字型開叉竹竿的樹椏
237,190,263,1,叉人的頷頸。,Tshe lâng ê ām-kún. ,掐別人的脖子。
238,190,264,1,拍叉做記號。,Phah tshe tsò kì-hō. ,打叉做記號。
239,190,265,1,用話叉人,īng uē tshe--lâng,用話頂撞別人
240,191,267,1,店門口,tiàm mn̂g-kháu,商店門口
241,191,268,1,一口井,tsi̍t kháu tsénn,一口井
242,191,268,2,一口劍,tsi̍t kháu kiàm,一把劍
243,191,269,1,一家口,tsi̍t ke-kháu,一家人
244,191,270,1,一口灶,tsi̍t kháu-tsàu,一戶
245,192,271,1,土地,thóo-tē,
246,192,272,1,伊的性地有影土。,I ê sìng-tē ū-iánn thóo. ,他的個性非常土。
247,192,273,1,本土,pún-thóo,
248,192,273,2,土博士,thóo phok-sū,
249,193,274,1,博士,phok-sū,
250,193,274,2,士農工商,sū lông kang siong,
251,194,275,1,大官,ta-kuann,公公
252,194,275,2,大家,ta-ke,婆婆
253,195,276,1,大量,tāi-liōng,
254,195,276,2,大德,tāi tik,
255,196,277,1,阮大兄大我三歲。,Guán tuā-hiann tuā guá sann huè. ,我大哥比我大三歲。
256,196,277,2,大紅,tuā-âng,深紅色
257,196,277,3,大人,tuā-lâng,
258,196,278,1,大昨日,tuā-tso̍h--ji̍t,大前天
259,196,278,2,大後日,tuā-āu--ji̍t,大後天
260,196,279,1,大伯,tuā-peh,大伯父
261,196,280,1,囡仔會大，早慢是愛離開。,"Gín-á ē tuā, tsá-bān sī ài lī-khui. ",小孩子會長大，遲早得要離開。
262,197,281,1,婦女,hū-lí,
263,198,282,1,女權,lú khuân,
264,199,283,1,銃子,tshìng-tsí,子彈
265,199,284,1,果子,kué-tsí,水果
266,199,284,2,菜子,tshài-tsí,菜種
267,199,284,3,烏魚子,oo-hî-tsí,
268,200,285,1,公子,kong tsú,稱人子
269,200,285,2,孝子,hàu-tsú,子女服喪時之稱
270,200,286,1,孔子公,Khóng-tsú-kong,孔子
271,200,287,1,女子,lú-tsú,
272,200,287,2,男子,lâm-tsú,
273,200,288,1,子弟,tsú-tē,
274,200,289,1,弟子,tē-tsú,
275,200,290,1,子丑寅卯,tsú thiú în báu,地支前四位
276,200,290,2,甲子年,kah-tsú nî,干支為甲子的年分
277,200,291,1,子時,tsú-sî,晚上十一點至第二天凌晨一點
278,200,292,1,面子,bīn-tsú,
279,201,293,1,棋子,kî-jí,
280,201,293,2,算盤子,sǹg-puânn-jí,
281,201,294,1,一子弓蕉,tsi̍t jí king-tsio,一根香蕉
282,202,295,1,陰鴆鴆，咬人三寸深。,"Im-thim-thim, kā lâng sann tshùn tshim. ",一般陰沉的人，平常多是默不作聲，一狠起來，就會狠咬一口。
283,202,296,1,寸步難行,tshùn pōo lân hîng,一小步也行走不得，喻處境困窘。
284,203,297,1,小寒,siáu-hân,二十四節氣之一，冬至過後十五天，因天候寒冷所以有這個名稱。
285,203,298,1,小女,siáu lú,自己的女兒
286,204,299,1,小湧,sió íng,小浪
287,204,300,1,小可,sió-khuá,稍微、一點點
288,204,301,1,小叔仔,sió-tsik-á,丈夫的弟弟
289,205,302,1,阿里山,A-lí-san,
290,206,303,1,懸山,kuân suann,高山
291,206,304,1,上山落船,tsiūnn suann lo̍h tsûn,上岸下船
292,206,305,1,山園,suann-hn̂g,旱田
293,206,305,2,山地,suann-tē,旱地或指山很多的地區
